Image_No1,My_Algorithm,Image_No2,Graph_Edit_Distance
3,1,3,0
265,0.993386894,128,0
426,0.993127376,265,0
128,0.992486477,426,0
517,0.991416276,517,0
297,0.987988949,117,1
129,0.986623853,196,1
266,0.986349016,248,1
427,0.986060381,8,2
405,0.980987519,9,2
120,0.980948478,115,2
308,0.980364442,129,2
533,0.980203539,132,2
485,0.977585912,160,2
413,0.976654142,185,2
115,0.976318181,217,2
422,0.974518508,220,2
175,0.974090815,240,2
132,0.973035693,257,2
110,0.971357763,266,2
542,0.968997419,269,2
459,0.968522012,280,2
555,0.966544628,297,2
320,0.960091084,304,2
50,0.95951274,308,2
521,0.957600802,320,2
535,0.957272381,331,2
74,0.916656315,356,2
226,0.888395131,394,2
329,0.885478348,405,2
58,0.882110804,422,2
319,0.878270656,427,2
70,0.870874643,483,2
508,0.862677962,485,2
20,0.851863444,532,2
262,0.844051182,533,2
212,0.842259824,535,2
313,0.837549031,541,2
343,0.818336487,555,2
200,0.817356229,4,3
433,0.800359815,11,3
524,0.799052417,25,3
553,0.797626942,27,3
302,0.789836079,38,3
365,0.788934559,54,3
111,0.788806379,77,3
380,0.78274098,91,3
310,0.782605231,158,3
428,0.782401949,173,3
102,0.781304091,174,3
525,0.781062096,179,3
311,0.780284882,202,3
285,0.778975666,221,3
306,0.778967708,236,3
483,0.771424025,242,3
337,0.765648812,244,3
259,0.762493193,246,3
301,0.760889977,247,3
90,0.758372217,251,3
287,0.757916301,252,3
103,0.757542819,323,3
210,0.757349163,329,3
250,0.755080163,340,3
180,0.752441376,359,3
270,0.752163291,362,3
9,0.747216582,382,3
321,0.745514736,421,3
228,0.744671926,430,3
76,0.742837638,438,3
543,0.742097154,451,3
283,0.741276458,464,3
353,0.740649953,469,3
51,0.740262792,471,3
368,0.737897187,481,3
73,0.73774305,497,3
181,0.737461761,519,3
316,0.73441875,19,4
126,0.728075355,21,4
163,0.725917891,22,4
251,0.722532704,23,4
194,0.720757991,30,4
137,0.71791631,36,4
326,0.715742394,46,4
125,0.715445906,48,4
30,0.713150054,50,4
149,0.709401503,78,4
112,0.709295437,89,4
382,0.708395973,94,4
369,0.70837,108,4
263,0.707715258,110,4
332,0.706912503,116,4
328,0.706219897,120,4
195,0.705762282,155,4
318,0.704046488,164,4
81,0.703462914,167,4
477,0.702653751,171,4
403,0.701874614,172,4
7,0.700841084,175,4
419,0.699075505,184,4
187,0.698232725,187,4
38,0.698221192,189,4
389,0.69697167,194,4
10,0.695982695,213,4
434,0.694425046,218,4
