Image_No,Similarity_Score
3,0.0
128,0.0
265,0.0
426,0.0
517,0.0
117,1.0
196,1.0
248,1.0
8,2.0
9,2.0
115,2.0
129,2.0
132,2.0
160,2.0
185,2.0
217,2.0
220,2.0
240,2.0
257,2.0
266,2.0
269,2.0
280,2.0
297,2.0
304,2.0
308,2.0
320,2.0
331,2.0
356,2.0
394,2.0
405,2.0
422,2.0
427,2.0
483,2.0
485,2.0
532,2.0
533,2.0
535,2.0
541,2.0
555,2.0
4,3.0
11,3.0
25,3.0
27,3.0
38,3.0
54,3.0
77,3.0
91,3.0
158,3.0
173,3.0
174,3.0
179,3.0
202,3.0
221,3.0
236,3.0
242,3.0
244,3.0
246,3.0
247,3.0
251,3.0
252,3.0
323,3.0
329,3.0
340,3.0
359,3.0
362,3.0
382,3.0
421,3.0
430,3.0
438,3.0
451,3.0
464,3.0
469,3.0
471,3.0
481,3.0
497,3.0
519,3.0
19,4.0
21,4.0
22,4.0
23,4.0
30,4.0
36,4.0
46,4.0
48,4.0
50,4.0
78,4.0
89,4.0
94,4.0
108,4.0
110,4.0
116,4.0
120,4.0
155,4.0
164,4.0
167,4.0
171,4.0
172,4.0
175,4.0
184,4.0
187,4.0
189,4.0
194,4.0
213,4.0
218,4.0
233,4.0
256,4.0
258,4.0
263,4.0
283,4.0
296,4.0
307,4.0
321,4.0
341,4.0
349,4.0
374,4.0
390,4.0
406,4.0
413,4.0
429,4.0
433,4.0
459,4.0
463,4.0
484,4.0
486,4.0
504,4.0
508,4.0
512,4.0
514,4.0
521,4.0
523,4.0
537,4.0
542,4.0
543,4.0
552,4.0
553,4.0
2,5.0
5,5.0
14,5.0
20,5.0
35,5.0
40,5.0
51,5.0
52,5.0
53,5.0
57,5.0
67,5.0
68,5.0
70,5.0
75,5.0
81,5.0
82,5.0
83,5.0
87,5.0
92,5.0
102,5.0
103,5.0
112,5.0
113,5.0
119,5.0
121,5.0
131,5.0
135,5.0
136,5.0
139,5.0
142,5.0
149,5.0
152,5.0
161,5.0
162,5.0
176,5.0
182,5.0
191,5.0
201,5.0
204,5.0
206,5.0
208,5.0
212,5.0
215,5.0
222,5.0
223,5.0
225,5.0
234,5.0
238,5.0
239,5.0
253,5.0
261,5.0
268,5.0
273,5.0
278,5.0
281,5.0
286,5.0
301,5.0
302,5.0
309,5.0
314,5.0
322,5.0
325,5.0
327,5.0
334,5.0
335,5.0
336,5.0
337,5.0
339,5.0
346,5.0
354,5.0
361,5.0
366,5.0
375,5.0
376,5.0
378,5.0
381,5.0
384,5.0
395,5.0
401,5.0
402,5.0
407,5.0
412,5.0
425,5.0
432,5.0
435,5.0
437,5.0
447,5.0
448,5.0
460,5.0
465,5.0
467,5.0
468,5.0
470,5.0
472,5.0
477,5.0
478,5.0
487,5.0
494,5.0
503,5.0
505,5.0
515,5.0
516,5.0
527,5.0
549,5.0
557,5.0
6,6.0
12,6.0
31,6.0
34,6.0
37,6.0
42,6.0
43,6.0
45,6.0
60,6.0
64,6.0
65,6.0
69,6.0
71,6.0
74,6.0
88,6.0
90,6.0
93,6.0
98,6.0
99,6.0
122,6.0
123,6.0
127,6.0
130,6.0
134,6.0
137,6.0
138,6.0
143,6.0
144,6.0
145,6.0
147,6.0
153,6.0
154,6.0
156,6.0
165,6.0
168,6.0
169,6.0
183,6.0
186,6.0
192,6.0
199,6.0
209,6.0
214,6.0
219,6.0
229,6.0
230,6.0
231,6.0
237,6.0
241,6.0
245,6.0
249,6.0
254,6.0
271,6.0
279,6.0
285,6.0
290,6.0
291,6.0
292,6.0
295,6.0
313,6.0
330,6.0
342,6.0
355,6.0
357,6.0
358,6.0
387,6.0
398,6.0
410,6.0
416,6.0
417,6.0
420,6.0
436,6.0
442,6.0
443,6.0
457,6.0
466,6.0
473,6.0
479,6.0
480,6.0
491,6.0
498,6.0
501,6.0
506,6.0
518,6.0
520,6.0
525,6.0
529,6.0
540,6.0
550,6.0
558,6.0
0,7.0
7,7.0
10,7.0
13,7.0
17,7.0
28,7.0
29,7.0
32,7.0
33,7.0
44,7.0
49,7.0
62,7.0
63,7.0
72,7.0
79,7.0
86,7.0
95,7.0
96,7.0
104,7.0
106,7.0
109,7.0
111,7.0
114,7.0
124,7.0
133,7.0
140,7.0
146,7.0
150,7.0
151,7.0
159,7.0
163,7.0
166,7.0
180,7.0
181,7.0
188,7.0
197,7.0
198,7.0
203,7.0
205,7.0
207,7.0
210,7.0
224,7.0
227,7.0
228,7.0
235,7.0
243,7.0
255,7.0
259,7.0
260,7.0
262,7.0
270,7.0
272,7.0
274,7.0
275,7.0
276,7.0
277,7.0
282,7.0
287,7.0
303,7.0
305,7.0
310,7.0
311,7.0
312,7.0
315,7.0
316,7.0
317,7.0
318,7.0
319,7.0
324,7.0
326,7.0
332,7.0
333,7.0
338,7.0
343,7.0
345,7.0
347,7.0
348,7.0
351,7.0
353,7.0
360,7.0
365,7.0
368,7.0
379,7.0
380,7.0
383,7.0
385,7.0
391,7.0
393,7.0
397,7.0
403,7.0
408,7.0
423,7.0
431,7.0
440,7.0
453,7.0
456,7.0
474,7.0
475,7.0
482,7.0
488,7.0
490,7.0
493,7.0
495,7.0
502,7.0
510,7.0
513,7.0
522,7.0
524,7.0
526,7.0
530,7.0
531,7.0
534,7.0
539,7.0
545,7.0
548,7.0
551,7.0
1,8.0
16,8.0
24,8.0
26,8.0
39,8.0
41,8.0
47,8.0
55,8.0
56,8.0
58,8.0
59,8.0
61,8.0
66,8.0
80,8.0
84,8.0
85,8.0
97,8.0
100,8.0
101,8.0
105,8.0
107,8.0
118,8.0
125,8.0
126,8.0
148,8.0
177,8.0
190,8.0
193,8.0
195,8.0
200,8.0
226,8.0
232,8.0
264,8.0
267,8.0
288,8.0
289,8.0
293,8.0
294,8.0
298,8.0
299,8.0
306,8.0
328,8.0
344,8.0
350,8.0
352,8.0
363,8.0
367,8.0
369,8.0
370,8.0
371,8.0
372,8.0
373,8.0
386,8.0
388,8.0
389,8.0
392,8.0
396,8.0
399,8.0
400,8.0
404,8.0
409,8.0
411,8.0
414,8.0
418,8.0
428,8.0
434,8.0
439,8.0
441,8.0
444,8.0
445,8.0
446,8.0
449,8.0
450,8.0
452,8.0
454,8.0
458,8.0
461,8.0
462,8.0
476,8.0
489,8.0
492,8.0
496,8.0
499,8.0
500,8.0
507,8.0
509,8.0
511,8.0
528,8.0
536,8.0
538,8.0
544,8.0
546,8.0
547,8.0
73,9.0
76,9.0
157,9.0
170,9.0
178,9.0
211,9.0
364,9.0
415,9.0
554,9.0
556,9.0
15,10.0
18,10.0
141,10.0
216,10.0
250,10.0
284,10.0
300,10.0
377,10.0
424,10.0
455,10.0
419,11.0
